Timestamp,Was war Ihre mittlere Handynutzungszeit in der letzten  Woche in ganzen Minuten?,Was war Ihre Reaktionszeit im Stroop-Test (Herr Gaul) in Millsekunden?,Was war Ihr Anteil an richtigen Antworten im Stroop-Test in Prozent?,Wie oft haben Sie Handy pro Tag entsperrt (im Schnitt) letzte Woche?,Geschlecht?
29/03/2022 11:13:09,281,1122,100,155,Frau
29/03/2022 11:13:21,219,1911,96,114,Mann
29/03/2022 11:13:33,210,1006,100,200,Frau
29/03/2022 11:13:35,217,1375,98,171,Frau
29/03/2022 11:13:38,266,1249,98,124,Frau
29/03/2022 11:13:39,7.3,1203,98,120,Mann
29/03/2022 11:13:40,276,1498,100,169,Frau
29/03/2022 11:13:56,157,1276,98,74,Frau
29/03/2022 11:14:14,183,1200,100,93,Frau
29/03/2022 11:14:14,209,1704,100,139,Mann
29/03/2022 11:14:14,239,1582,100,47,Frau
29/03/2022 11:14:15,311,1382,96.6,148,Frau
29/03/2022 11:14:25,194,1248,89,106,Frau
29/03/2022 11:14:34,156,1308,100,99,Frau
29/03/2022 11:14:35,301,1016,75,135,Frau
29/03/2022 11:14:42,207,1027,100,130,Frau
29/03/2022 11:14:43,217,1153,100,131,Frau
29/03/2022 11:14:44,266,1074,100,72,Frau
29/03/2022 11:14:53,158,1020,100,116,Mann
29/03/2022 11:15:00,97,1315,100,41,Mann
29/03/2022 11:15:02,122,1244,100,90,Frau
29/03/2022 11:15:03,136,1072,98,72,Frau
29/03/2022 11:15:03,229,1057,100,,Mann
29/03/2022 11:15:10,473,,,253,Frau
29/03/2022 11:15:11,282,789,87,43,Frau
29/03/2022 11:15:11,343,865,100,120,Frau
29/03/2022 11:15:12,148,936,100,47,Frau
29/03/2022 11:15:12,180,1443,98.3,135,Frau
29/03/2022 11:15:15,202,,,,Mann
29/03/2022 11:15:15,398,1467,100,152,Frau
29/03/2022 11:15:16,148,1547,98.3,108,Frau
29/03/2022 11:15:17,134,1604,100,90,Frau
29/03/2022 11:15:17,311,902,98,126,Frau
29/03/2022 11:15:19,328,949,100,100,Frau
29/03/2022 11:15:22,166,1007,1007,97,Frau
29/03/2022 11:15:29,145,1165,100,97,Frau
29/03/2022 11:15:30,360,1121,98,110,Frau
29/03/2022 11:15:35,258,1381,98,948,Frau
29/03/2022 11:15:36,203,1489,98,,Frau
29/03/2022 11:15:41,600,1315,98.3,60,Frau
29/03/2022 11:15:42,380,997,100,60,Frau
29/03/2022 11:15:44,340,1630,100,80,Frau
29/03/2022 11:15:50,262,1208,100,128,Frau
29/03/2022 11:15:51,232,1301,100,98,Frau
29/03/2022 11:15:51,360,1186,98.3,74,Frau
29/03/2022 11:15:54,458,2400,100,330,Frau
29/03/2022 11:15:57,186,827,100,,Mann
29/03/2022 11:16:01,245,1421,100,125,Frau
29/03/2022 11:16:03,190,1277,83,80,Frau
29/03/2022 11:16:03,287,1274,100,84,Frau
29/03/2022 11:16:05,240,1715,97,141,Frau
29/03/2022 11:16:06,357,860,100,,Frau
29/03/2022 11:16:07,210,960,100,200,Mann
29/03/2022 11:16:11,420,,,166,Frau
29/03/2022 11:16:13,613,1096,100,,Frau
29/03/2022 11:16:16,200,1447,100,89,Frau
29/03/2022 11:16:16,400,1156,89,140,Mann
29/03/2022 11:16:17,450,1200,98,110,Mann
29/03/2022 11:16:22,156,,97,103,Frau
29/03/2022 11:16:23,175,1668,100,150,Mann
29/03/2022 11:16:26,3245,1395,95,150,Frau
29/03/2022 11:16:29,409,1106,95,67,Frau
29/03/2022 11:16:38,632,1186,100,,Frau
29/03/2022 11:16:40,363,1256,100,109,Frau
29/03/2022 11:16:44,147,1900,100,91,Frau
29/03/2022 11:16:46,266,717,57,95,Frau
29/03/2022 11:16:46,258,1389,98,125,Frau
29/03/2022 11:16:48,440,1089,100,250,Frau
29/03/2022 11:16:57,1935,1209,100,600,Mann
29/03/2022 11:17:01,269,1214,100,191,Mann
29/03/2022 11:17:05,308,,,270,Frau
29/03/2022 11:17:06,498,1258,100,108,Frau
29/03/2022 11:17:07,407,785,100,175,Frau
29/03/2022 11:17:09,190,1403,100,34,Mann
29/03/2022 11:17:09,453,1571,95,854,Frau
29/03/2022 11:17:30,480,1300,98,197,Mann
29/03/2022 11:17:33,244,1138,100,75,Frau
29/03/2022 11:17:37,514,1332,95,100,Frau
29/03/2022 11:17:38,151,,100,51,Frau
29/03/2022 11:17:50,300,1493,98,88,Frau
29/03/2022 11:18:30,269,1146,100,119,Frau
29/03/2022 11:18:35,595,1706,100,,Mann
29/03/2022 11:18:37,198,1484,97,200,Frau
29/03/2022 11:18:42,407,1780,100,153,Mann
29/03/2022 11:18:59,466,975,100,560,Frau
29/03/2022 11:19:02,196,1140,98,131,Frau
29/03/2022 11:19:14,267,1607,100,416,Frau
29/03/2022 11:19:28,328,1023,100,,Frau
29/03/2022 11:20:33,298,1446,100,115,Frau
29/03/2022 11:20:43,316,1359,98,80,Frau
29/03/2022 11:21:04,390,845,100,63,Frau
29/03/2022 11:21:19,210,1459,100,15,Frau
29/03/2022 11:23:52,360,400,,,Frau
29/03/2022 14:48:32,202,,,,Mann
30/03/2022 07:58:25,173,1536,98,126,Frau